ts_art,exchange,ask,bid,edad_seg
2026-09-18 07:25:00,okexp2p,1594.84,1591.0,22
2026-09-18 07:25:00,peanut,1621.15,1563.82,35
2026-09-18 07:25:00,ripio,1611.94,1567.2942,13
2026-09-18 07:25:00,ripioexchange,1601.2665,1582.9455,51
2026-09-18 07:25:00,saldo,1592.8293,1562.6702,31
2026-09-18 07:25:00,satoshitango,1628.2869,1583.2796,27
2026-09-18 07:25:00,tiendacrypto,1611.478,1573.262,33
2026-09-18 07:25:00,vitawallet,1613.0875,1566.7675,32
2026-09-18 07:25:00,wallbit,1636.539,1568.06,18
2026-09-18 07:36:03,astropay,1630.2486,1562.5,37
2026-09-18 07:36:03,belo,1606.0,1584.0,37
2026-09-18 07:36:03,binance,1595.1955,1576.7775,48
2026-09-18 07:36:03,binancep2p,1592.0,1586.0,58
2026-09-18 07:36:03,bingxp2p,1598.0,1591.3,16
2026-09-18 07:36:03,bitgetp2p,1601.99,1591.1,56
2026-09-18 07:36:03,bitsoalpha,1602.6586,1582.5076,47
2026-09-18 07:36:03,buenbit,1621.4398,1581.8166,0
2026-09-18 07:36:03,bybit,1614.7057,1570.1293,51
2026-09-18 07:36:03,bybitp2p,1593.2,1592.6,27
2026-09-18 07:36:03,cocoscrypto,1604.0022,1584.0018,35
2026-09-18 07:36:03,cryptomktpro,1615.4247,1570.5693,34
2026-09-18 07:36:03,decrypto,1608.5854,1549.6821,30
2026-09-18 07:36:03,eldoradop2p,1617.8598,1564.358,31
2026-09-18 07:36:03,eluter,1621.2695,1566.9342,33
2026-09-18 07:36:03,fiwind,1595.0,1584.0,34
2026-09-18 07:36:03,kucoinp2p,1597.0,1584.15,11
2026-09-18 07:36:03,lemoncash,1618.691,1537.9643,33
2026-09-18 07:36:03,lemoncashp2p,1613.85,1567.135,34
2026-09-18 07:36:03,letsbit,1611.2554,1575.1661,22
2026-09-18 07:36:03,mexc,1663.7779,1592.8287,32
2026-09-18 07:36:03,mexcp2p,1609.0,1585.75,15
2026-09-18 07:36:03,nexo,1602.5675,1585.0198,33
2026-09-18 07:36:03,okexp2p,1594.84,1591.0,51
2026-09-18 07:36:03,peanut,1621.15,1563.82,35
2026-09-18 07:36:03,ripio,1612.11,1567.0554,13
2026-09-18 07:36:03,ripioexchange,1602.2715,1583.1445,51
2026-09-18 07:36:03,saldo,1592.8932,1562.9069,30
2026-09-18 07:36:03,satoshitango,1628.2706,1583.2638,27
2026-09-18 07:36:03,tiendacrypto,1611.478,1573.262,32
2026-09-18 07:36:03,vitawallet,1613.5247,1567.1922,32
2026-09-18 07:36:03,wallbit,1637.0592,1568.08,18
2026-09-18 07:47:34,astropay,1630.3302,1562.5977,10
2026-09-18 07:47:34,belo,1606.0,1584.0,10
2026-09-18 07:47:34,binance,1595.2956,1576.8765,22
2026-09-18 07:47:34,binancep2p,1592.0,1586.0,41
2026-09-18 07:47:34,bingxp2p,1598.0,1591.3,40
2026-09-18 07:47:34,bitgetp2p,1601.99,1591.1,28
2026-09-18 07:47:34,bitsoalpha,1602.6586,1582.5076,20
2026-09-18 07:47:34,buenbit,1621.8702,1582.2362,33
2026-09-18 07:47:34,bybit,1614.7057,1570.1293,52
2026-09-18 07:47:34,bybitp2p,1593.3,1592.5,52
2026-09-18 07:47:34,cocoscrypto,1604.0022,1584.0018,8
2026-09-18 07:47:34,cryptomktpro,1615.5663,1571.331,7
2026-09-18 07:47:34,decrypto,1608.5854,1549.6821,4
2026-09-18 07:47:34,eldoradop2p,1626.9388,1564.358,4
2026-09-18 07:47:34,eluter,1621.3712,1567.0325,7
2026-09-18 07:47:34,fiwind,1595.0,1584.0,7
2026-09-18 07:47:34,kucoinp2p,1597.0,1586.0,14
2026-09-18 07:47:34,lemoncash,1618.7429,1538.0136,7
2026-09-18 07:47:34,lemoncashp2p,1613.85,1567.135,7
2026-09-18 07:47:34,letsbit,1611.2552,1575.1661,55
2026-09-18 07:47:34,mexc,1663.7779,1592.8287,6
2026-09-18 07:47:34,mexcp2p,1608.0,1585.75,6
2026-09-18 07:47:34,nexo,1602.8436,1585.2929,6
2026-09-18 07:47:34,okexp2p,1594.84,1591.0,55
2026-09-18 07:47:34,peanut,1621.15,1563.82,9
2026-09-18 07:47:34,ripio,1612.95,1568.2095,46
2026-09-18 07:47:34,ripioexchange,1602.0705,1582.9455,24
2026-09-18 07:47:34,saldo,1592.9561,1563.213,4
2026-09-18 07:47:34,satoshitango,1628.6795,1583.6614,0
2026-09-18 07:47:34,tiendacrypto,1611.478,1573.262,6
2026-09-18 07:47:34,vitawallet,1613.6905,1567.3532,5
2026-09-18 07:47:34,wallbit,1637.0592,1563.88,51
2026-09-18 08:07:28,astropay,1630.2486,1562.5,5
2026-09-18 08:07:28,belo,1606.0,1584.0,5
2026-09-18 08:07:28,binance,1595.2956,1576.8765,16
2026-09-18 08:07:28,binancep2p,1591.97,1586.0,50
2026-09-18 08:07:28,bingxp2p,1598.0,1591.5,95
2026-09-18 08:07:28,bitgetp2p,1601.99,1591.1,53
2026-09-18 08:07:28,bitsoalpha,1602.6586,1582.5176,15
2026-09-18 08:07:28,buenbit,1621.6901,1582.0564,29
2026-09-18 08:07:28,bybit,1614.7057,1570.1293,21
2026-09-18 08:07:28,bybitp2p,1593.0,1588.2,36
2026-09-18 08:07:28,cocoscrypto,1604.0022,1584.0018,3
2026-09-18 08:07:28,cryptomktpro,1615.5461,1570.9353,1
2026-09-18 08:07:28,decrypto,1608.5854,1549.6821,58
2026-09-18 08:07:28,eldoradop2p,1624.7271,1564.358,59
2026-09-18 08:07:28,eluter,1621.3712,1567.0325,1
2026-09-18 08:07:28,fiwind,1595.0,1584.0,2
2026-09-18 08:07:28,kucoinp2p,1597.0,1586.0,39
2026-09-18 08:07:28,lemoncash,1618.717,1537.9889,1
2026-09-18 08:07:28,lemoncashp2p,1613.85,1567.135,11
2026-09-18 08:07:28,letsbit,1611.2553,1575.1661,50
2026-09-18 08:07:28,mexc,1663.7779,1592.8287,0
2026-09-18 08:07:28,mexcp2p,1608.0,1585.75,29
2026-09-18 08:07:28,nexo,1602.49,1584.9432,0
2026-09-18 08:07:28,okexp2p,1594.84,1591.0,14
2026-09-18 08:07:28,peanut,1621.15,1563.82,3
2026-09-18 08:07:28,ripio,1612.3,1567.5827,41
2026-09-18 08:07:28,ripioexchange,1603.6785,1583.1445,19
2026-09-18 08:07:28,saldo,1592.8433,1563.7866,59
2026-09-18 08:07:28,satoshitango,1628.7429,1583.723,55
2026-09-18 08:07:28,tiendacrypto,1611.478,1573.262,0
2026-09-18 08:07:28,vitawallet,1613.5936,1567.2591,0
2026-09-18 08:07:28,wallbit,1637.1612,1563.98,46
2026-09-18 08:22:44,astropay,1630.3302,1562.5977,19
2026-09-18 08:22:44,belo,1606.0,1584.0,19
2026-09-18 08:22:44,binance,1595.2956,1576.8765,30
2026-09-18 08:22:44,binancep2p,1591.9,1585.5,49
2026-09-18 08:22:44,bingxp2p,1597.99,1591.5,49
2026-09-18 08:22:44,bitgetp2p,1600.87,1591.1,7
2026-09-18 08:22:44,bitsoalpha,1601.5419,1582.0902,28
2026-09-18 08:22:44,buenbit,1621.3497,1581.7367,43
2026-09-18 08:22:44,bybit,1614.7057,1570.1293,60
2026-09-18 08:22:44,bybitp2p,1593.3,1592.6,0
2026-09-18 08:22:44,cocoscrypto,1604.0022,1584.0018,18
2026-09-18 08:22:44,cryptomktpro,1616.7996,1570.0649,17
2026-09-18 08:22:44,decrypto,1608.5854,1549.6821,12
2026-09-18 08:22:44,eldoradop2p,1620.8895,1564.358,13
2026-09-18 08:22:44,eluter,1621.3712,1567.0325,17
2026-09-18 08:22:44,fiwind,1595.0,1584.0,17
2026-09-18 08:22:44,kucoinp2p,1597.0,1586.0,23
2026-09-18 08:22:44,lemoncash,1618.7089,1537.9813,16
2026-09-18 08:22:44,lemoncashp2p,1613.85,1566.15,17
2026-09-18 08:22:44,letsbit,1611.2552,1575.1661,4
2026-09-18 08:22:44,mexc,1663.7779,1592.8287,15
2026-09-18 08:22:44,mexcp2p,1608.0,1585.75,15
2026-09-18 08:22:44,nexo,1602.229,1584.6671,16
2026-09-18 08:22:44,okexp2p,1594.83,1591.0,37
2026-09-18 08:22:44,peanut,1621.15,1563.82,18
2026-09-18 08:22:44,ripio,1611.91,1567.0554,55
2026-09-18 08:22:44,ripioexchange,1602.372,1583.1445,33
2026-09-18 08:22:44,saldo,1592.745,1563.49,13
2026-09-18 08:22:44,satoshitango,1629.5764,1584.5335,9
2026-09-18 08:22:44,tiendacrypto,1611.478,1573.262,15
2026-09-18 08:22:44,vitawallet,1613.4762,1567.1451,15
2026-09-18 08:22:44,wallbit,1637.1612,1563.98,0
2026-09-18 08:33:43,astropay,1630.3302,1562.5977,19
2026-09-18 08:33:43,belo,1606.0,1584.0,19
2026-09-18 08:33:43,binance,1595.2956,1576.8765,30
2026-09-18 08:33:43,binancep2p,1591.99,1585.52,40
2026-09-18 08:33:43,bingxp2p,1597.99,1591.5,109
2026-09-18 08:33:43,bitgetp2p,1598.55,1591.1,37
2026-09-18 08:33:43,bitsoalpha,1603.5539,1582.2989,29
2026-09-18 08:33:43,buenbit,1621.7501,1582.1263,42
2026-09-18 08:33:43,bybit,1614.7057,1570.1293,46
2026-09-18 08:33:43,bybitp2p,1593.2,1589.0,14
2026-09-18 08:33:43,cocoscrypto,1604.0022,1584.0018,17
2026-09-18 08:33:43,cryptomktpro,1615.5056,1570.9452,16
2026-09-18 08:33:43,decrypto,1608.5854,1549.6821,12
2026-09-18 08:33:43,eldoradop2p,1620.8895,1564.358,43
2026-09-18 08:33:43,eluter,1621.3712,1567.0325,16
2026-09-18 08:33:43,fiwind,1595.0,1584.0,16
2026-09-18 08:33:43,kucoinp2p,1597.0,1586.0,23
2026-09-18 08:33:43,lemoncash,1618.7478,1538.0182,16
